#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	metaphlan_BIOME168077_S1	metaphlan_BIOME168081_S2	metaphlan_BIOME168093_S3	metaphlan_BIOME168302_S4	metaphlan_BIOME168314_S6	metaphlan_BIOME168318_S5	metaphlan_BIOME168326_S7	metaphlan_BIOME168631_S37	metaphlan_BIOME168635_S8	metaphlan_BIOME168639_S9	metaphlan_BIOME168643_S10	metaphlan_BIOME168647_S11	metaphlan_BIOME168651_S12	metaphlan_BIOME168655_S13	metaphlan_BIOME168667_S14	metaphlan_BIOME168671_S15	metaphlan_BIOME169177_S17	metaphlan_BIOME169181_S16	metaphlan_BIOME169201_S19	metaphlan_BIOME169205_S18	metaphlan_BIOME169225_S20	metaphlan_BIOME169229_S21	metaphlan_BIOME169624_S22	metaphlan_BIOME169628_S23	metaphlan_BIOME169715_S24	metaphlan_BIOME169719_S25	metaphlan_BIOME169727_S26	metaphlan_BIOME169731_S27	metaphlan_BIOME169735_S28	metaphlan_BIOME169739_S29	metaphlan_BIOME169763_S30	metaphlan_BIOME169767_S31	metaphlan_BIOME169832_S32	metaphlan_BIOME169848_S33	metaphlan_BIOME171068_S34	metaphlan_BIOME171072_S35	metaphlan_BIOME171096_S36	metaphlan_BIOME172176_S38	metaphlan_BIOME172196_S39	metaphlan_BIOME172200_S40	metaphlan_BIOME172204_S41	metaphlan_BIOME172208_S42	metaphlan_BIOME172212_S43	metaphlan_BIOME172216_S44	metaphlan_BIOME181988_S57	metaphlan_BIOME181992_S58	metaphlan_BIOME182044_S45	metaphlan_BIOME182048_S46	metaphlan_BIOME182052_S47	metaphlan_BIOME182060_S48	metaphlan_BIOME182064_S49	metaphlan_BIOME182068_S50	metaphlan_BIOME182072_S51	metaphlan_BIOME182743_S52	metaphlan_BIOME182751_S53	metaphlan_BIOME182755_S66	metaphlan_BIOME182759_S65	metaphlan_BIOME182763_S67	metaphlan_BIOME182767_S74	metaphlan_BIOME182783_S61	metaphlan_BIOME182787_S54	metaphlan_BIOME182791_S56	metaphlan_BIOME182795_S55	metaphlan_BIOME186176_S60	metaphlan_BIOME186180_S59	metaphlan_BIOME186184_S62	metaphlan_BIOME186317_S63	metaphlan_BIOME186321_S64	metaphlan_BIOME186337_S70	metaphlan_BIOME186341_S73	metaphlan_BIOME186345_S68	metaphlan_BIOME186349_S69	metaphlan_BIOME186357_S71	metaphlan_BIOME186361_S72	metaphlan_BIOME186365_S75	metaphlan_BIOME186381_S76	metaphlan_BIOME186385_S77
k__Bacteria|p__Candidatus_Melainabacteria	0.12503	0.17021	0.0	0.0	0.0	0.0	0.0612	0.0	0.29781	0.11141	0.0	0.0	0.0	0.0	0.0	0.0	0.89026	0.1516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07177	0.0	0.00087	0.0	0.0062	0.01121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04544	0.17279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01086	0.01693	0.00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Tenericutes	0.04575	0.0	0.0	0.0	0.0	0.0	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00953	0.0	0.0	0.0	0.0343	0.0	0.0	0.0	0.0	0.0	0.03693	0.0	0.0	0.01113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02464	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51832	0.11662	0.0	0.0	0.0	0.0	0.24404	0.00996	0.07661	0.0	0.0	0.12799	0.0	0.05582	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.01867	0.10304	0.01727	0.0	0.03317	0.0	0.0	0.0	0.0	0.02884	0.0	0.00862	0.0	0.1935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00421	0.03017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71253	0.0253	0.0	0.03424	0.04915	0.0	0.0	0.0	0.02475	0.02794	0.0	0.00316	0.0	0.0	0.00023	0.0	0.0	0.0	0.02285	0.0	0.0	0.0	0.02419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00721	0.00048	0.0	0.0	0.00376	0.00035	0.00798	0.01196	0.0	0.0	0.00669	0.0	0.0	0.0145	0.11271
k__Bacteria|p__Firmicutes|c__Clostridia	42.54025	64.11776	51.87388	51.36134	59.48517	63.23287	45.14261	75.69963	55.72035	66.86822	43.05224	38.63649	84.76554	50.23435	33.05723	65.38867	36.46304	68.38082	84.51945	64.88824	43.95316	61.75555	31.61659	67.12874	48.31675	61.4127	50.05037	65.29391	70.30282	42.11101	60.56565	51.16778	33.2307	55.8453	70.08299	69.31517	63.74949	73.1111	64.17088	73.92174	71.43894	78.56419	76.82288	60.34326	77.75617	71.9852	55.70767	59.19299	63.27092	73.15604	45.02224	63.01847	47.78367	29.97731	31.14992	67.44488	43.93164	51.25405	43.22964	62.24345	52.42154	41.74363	74.14732	68.61663	54.16908	40.8683	49.53695	72.30123	53.55057	54.81626	0.0	24.88753	46.29452	30.45662	48.21584	56.79683	38.77793
k__Bacteria|p__Bacteroidota|c__Bacteroidia	23.5098	19.95684	27.99911	38.61308	26.62714	5.21571	3.83745	0.60211	12.73765	18.23168	36.00167	49.41337	3.30616	5.15919	12.00775	16.62259	28.92951	13.02324	7.05108	3.04852	9.13474	17.56517	25.96843	15.95459	20.78935	13.64362	8.8198	10.69197	5.57271	8.22409	21.33579	29.1524	16.32711	18.33306	18.95769	6.08936	18.43933	14.91739	3.44706	9.32704	4.63015	12.64367	0.69871	2.94592	6.26501	22.60275	6.17394	10.2782	15.00615	8.98401	5.60035	6.94952	1.04274	3.33342	53.60758	14.29894	33.79314	0.55949	15.79999	3.04423	19.49192	10.69371	12.14691	14.45539	2.6166	24.98948	12.90095	9.50616	6.55215	15.11596	0.0	8.24754	19.11518	45.38412	3.52352	11.0337	19.32344
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.62218	0.0	0.0	0.0	0.0	0.0	0.0	0.76857	0.0	1.71357	0.65449	0.0	0.0	0.05206	2.83019	0.0	0.04751	0.04897	0.0	0.0	1.86749	5.00678	1.7168	3.71743	1.40857	1.49149	0.11145	0.00418	0.0	0.12461	0.18834	0.06171	3.33235	0.21073	0.5798	0.0	0.1487	0.00497	0.00125	0.0	0.02276	0.0283	0.0	0.61039	0.09227	0.0	0.6928	0.0	0.0	0.0	0.1909	19.97043	0.58342	0.11286	0.30608	0.36692	0.0	2.20167	0.0	0.00994	0.00174	3.80128	0.01637	0.0	0.0	1.06906	3.13836	0.0	0.0	0.02942	0.0	0.10137	0.37123	1.31841	1.73952	0.39466	0.01623
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	3.42483	1.1682	0.32683	0.18429	0.55735	0.07663	0.17986	1.02055	0.81293	1.17909	2.91368	0.55441	3.68767	4.85782	2.15981	0.23618	0.38806	0.08122	0.52324	7.68158	0.18947	0.99472	0.48975	0.16793	0.24619	0.56276	15.00625	7.35068	5.73459	0.36785	3.04131	0.45853	0.71219	1.25442	0.42057	1.48607	1.90699	1.32047	4.01726	1.01779	2.71008	1.61537	0.33438	0.63256	0.71327	2.47702	0.84983	0.53205	2.07808	1.56397	4.12379	3.37808	0.24732	0.0	0.57265	0.66042	0.82474	0.21179	2.25012	0.33993	0.06977	0.3484	3.56787	0.50177	2.30558	1.51229	1.06889	2.76467	0.79565	0.76696	0.0	4.28766	4.2211	0.61418	1.09264	1.90327	1.95643
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.17692	8.27503	1.17737	1.11823	5.76641	6.48016	5.15983	11.39174	3.63652	2.94116	3.74892	0.68807	3.43511	1.45276	4.69734	1.44134	0.97205	2.8072	3.41251	5.72227	1.2491	3.38855	0.74428	8.78036	0.75428	5.59691	2.55005	3.59002	5.84983	9.73019	4.62907	2.11338	4.62149	2.61368	2.511	6.72902	3.19794	1.2829	1.57637	5.27474	2.42848	0.88433	6.60473	1.54471	3.03755	1.37883	11.36926	5.09662	5.15101	1.13135	2.17936	1.30139	1.06491	0.95375	0.2714	1.31035	1.52892	7.89151	5.09956	2.92145	0.18164	0.86217	0.92913	1.61934	11.49207	2.34881	0.66707	0.29563	1.40634	1.02423	0.0	2.57963	5.0369	0.46226	7.22538	8.37446	8.94571
k__Bacteria|p__Bacteroidota|c__CFGB11479	1.98717	0.28191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765	1.94526	0.0	0.0	0.0	0.05394	0.07682	11.50768	0.0	0.20862	0.39393	0.0	0.06748	0.0	0.0	3.14497	4.13188	0.29366	0.0	0.04004	1.15532	5.43247	0.16424	0.0	0.0	0.0	0.24735	1.66927	0.34271	0.20304	2.20565	0.0	0.0	0.0	0.0	0.0	0.17965	0.39286	0.0	7.39559	0.0	4.51656	0.0	0.0	1.54743	0.0	0.0	4.84399	0.0	1.67186	0.0	0.0	0.0	3.78855	0.0	0.40004	1.5383	0.14542	0.95104	0.0	0.0	0.49871	0.20507	0.0	1.5462	0.78142	0.0	2.65243	3.11336	3.48991	0.0	0.0	0.0	0.0	2.46422	0.0	2.41476	0.12049
k__Bacteria|p__Firmicutes|c__CFGB3054	1.92573	0.05162	0.0	0.27596	0.02816	0.08198	1.82802	0.0	2.70045	0.00452	0.39248	0.0	0.0	0.0	0.47667	0.05247	1.18022	0.53081	0.0	0.02202	0.8128	0.0	0.0	0.0	0.0	0.05676	0.07636	0.15038	0.0353	0.35774	0.0	1.3091	0.0	1.46416	0.0	0.01785	0.00216	0.0	0.93108	0.0	0.11372	0.0	0.01406	0.31916	0.00266	0.0	0.60111	0.0	0.12252	0.0	0.0	0.0	0.0	0.0	0.0	0.17128	0.0	0.2853	0.0065	2.94927	0.0	0.66514	0.00206	0.0223	4.00692	0.0	1.38555	0.0637	6.65607	0.61808	0.0	5.85757	0.0	0.0	0.0	0.1421	0.04651
k__Bacteria|p__Firmicutes|c__CFGB10477	1.7964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4697	0.0	1.08933	0.0	0.0	0.0	6.82815	0.02537	1.15346	0.0	0.0	0.24234	4.98133	0.0	0.0	0.0	0.0	0.0	2.04523	0.16162	0.05838	1.60985	0.0	0.0	0.0	0.0	0.01185	0.0	0.0	0.0	0.06747	0.0	0.0	0.0	0.0	1.4641	0.06306	0.0	0.04158	0.0	0.0	0.0	0.0	0.0	0.1127	0.0	0.0	0.13994	0.0	0.39673	0.0	1.12882	1.90103	0.66611	0.0	0.0	0.0	0.0	1.65106	0.47232	0.2878	0.0	0.0	3.97973	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2984	1.5949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71876	0.03254	0.0	0.0	0.0	0.0	0.02574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14402	0.0	0.0	0.0	0.0	0.86367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__CFGB12107	1.5707	0.4386	0.58268	0.0	0.0	0.26071	0.0	0.0	1.19815	1.25524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21942	0.0	0.05751	0.0	0.0	0.22293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.80629	0.0	0.81514	0.17514	0.44356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67973	0.3882	0.0	0.0	0.1707	0.0	0.64898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1.39829	0.58809	0.0	0.0	0.78059	0.0	0.0	0.0	1.96449	0.02042	1.50071	0.0	0.0	0.0	8.06515	0.49275	4.25523	0.0	0.0	2.04326	7.6089	0.0	0.10174	0.01951	0.0	0.0	2.07521	2.1426	0.0	1.80323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52946	0.0	0.76669	0.0	2.71445	5.82072	2.76649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63694	0.0	0.0	1.39395	0.08696	12.19038	1.25067	4.92033	1.52412	3.35019	0.14559	1.53433	0.0	0.0	4.45408	2.47311	6.87768	5.28141	0.0	7.79501	0.0	0.20094	0.0	0.82471	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1.08624	0.00932	0.01731	1.6064	0.0	1.02131	1.89038	0.0	1.58937	0.0	0.0	0.0	0.59032	0.0	0.07964	0.29532	4.83233	7.98651	0.0	0.1266	1.96514	0.0	0.0	0.01464	16.32263	1.8685	0.00569	0.42017	0.12321	1.9586	0.11286	1.03544	0.0	9.99041	1.25265	0.0	0.0	0.05184	3.55838	0.0	0.89355	0.0	0.77725	1.99455	0.74183	0.0	3.1053	0.0	0.0	0.0	10.85315	0.0	0.02709	5.14852	6.90135	0.24913	0.0	19.8161	0.60115	1.44701	1.68663	6.20549	5.07217	0.75706	0.24182	11.92337	0.02502	1.55165	1.41829	11.61201	0.0	3.4093	0.17067	4.3441	3.85313	2.84624	0.2009
k__Bacteria|p__Firmicutes|c__CFGB79294	0.90038	0.2922	0.0	0.0	0.0	0.0	0.0	0.0	0.02011	0.0	0.0	0.0	0.0	0.0	3.52384	0.74628	0.0	0.0	0.0	0.0	4.35148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54611	0.0	0.0	0.12127	0.0	0.0	1.54718	0.0	0.43181	0.0	0.0	5.65899	1.16512	0.0	0.0	0.0	0.0	0.0	0.19369	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354	0.88593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43642	0.0	0.0	0.0	0.0	0.0	2.20695	0.17579	0.0	0.0	0.0	2.66558	0.60982	0.0	0.0	0.0	0.0	0.0	0.93326	0.39873	0.0	4.11329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.20149	0.0	0.0	0.0	0.0	0.49139	0.0	0.0	1.61344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89317	3.06101	0.4792	0.0	1.31637	1.60927	0.0	0.0	0.0	0.0	0.0	1.01699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes|c__Synergistia	0.87738	0.01481	0.0	0.0	0.0	0.0	0.02088	0.0	1.23182	0.0	0.04688	0.0	0.0	0.0	0.0	0.00164	6.88922	0.0	0.0	0.01187	0.37147	0.0	0.00086	0.0	0.0	0.0	0.0	0.0	0.0	0.16637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01419	0.0	0.0	0.0	0.0	0.01452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.25021	0.16541	0.25537	0.09838	0.1705	0.0	0.0	0.0	0.0	0.71644	0.0	1.33693	0.0	0.0	1.28407	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3072	0.83706	0.10641	0.0	0.01569	0.19045	0.37093	1.55214	0.08756	0.5356	0.05083	0.34333	0.0	0.0	0.0	0.9278	0.17645	0.46419	0.2594	0.0384	0.29123	1.42868	0.0	0.10592	0.0	0.0	0.40055	0.4841	0.38436	0.30471	0.8534	0.0	0.24793	0.0	0.40019	0.03727	0.54358	0.00783	0.0	0.36517	0.0	0.50099	0.0	0.69712	0.51826	0.33924	0.0	0.99129	0.0	0.02105	0.0	0.0	0.0	0.10644	0.0	0.0	0.17392	0.0	0.31107	0.11403	0.42622	0.40518	0.91261	0.00441	0.0	1.28123	0.0	0.60885	0.34582	1.28251	0.04475	0.0	1.2147	0.0	0.0	0.0	0.18069	0.015
